as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_100mX4200200000Y2984800000Z0;8.3171000778;49.9636311484;8.3164192278;49.9631713969;8.3163876641;49.9640702832;8.3177809408;49.9640908958;8.3178124784;49.963192009;TGB101_500mX4200000000Y2984500000Z0
TGB101_100mX4197500000Y2986400000Z0;8.2789660861;49.9774503517;8.2782854067;49.9769903744;8.2782531142;49.9778892443;8.2796467785;49.9779103248;8.279679045;49.9770114544;TGB101_500mX4197500000Y2986000000Z0
TGB101_100mX4197800000Y2987200000Z0;8.2828893876;49.9847044796;8.2822085689;49.9842445265;8.2821763426;49.9851433957;8.2835702193;49.9851644287;8.2836024195;49.984265559;TGB101_500mX4197500000Y2987000000Z0
TGB101_100mX4181100000Y2968000000Z0;8.0571213809;49.8083816496;8.0564451746;49.807920335;8.0564089143;49.8088191753;8.0577976001;49.8088429601;8.0578338345;49.8079441194;TGB101_500mX4181000000Y2968000000Z0
TGB101_100mX4191800000Y2978900000Z0;8.202057957;49.9088070321;8.2013789727;49.9083465896;8.2013453104;49.9092454529;8.2027369543;49.9092674706;8.2027705906;49.9083686068;TGB101_500mX4191500000Y2978500000Z0
TGB101_100mX4197700000Y2987700000Z0;8.2813343089;49.98917778;8.2806534422;49.9887178181;8.2806211823;49.9896166855;8.2820151885;49.9896377378;8.2820474223;49.9887388699;TGB101_500mX4197500000Y2987500000Z0
TGB101_100mX4196700000Y2989100000Z0;8.266939169;50.0015504636;8.2662582664;50.0010904172;8.2662257237;50.0019892765;8.2676200846;50.0020105059;8.2676526011;50.0011116462;TGB101_500mX4196500000Y2989000000Z0
TGB101_100mX4191000000Y2984100000Z0;8.1891622124;49.9553706935;8.1884827009;49.9549101792;8.1884487477;49.9558090248;8.1898417369;49.9558312037;8.1898756639;49.9549323575;TGB101_500mX4191000000Y2984000000Z0
TGB101_100mX4193400000Y2991900000Z0;8.2199907116;50.026008135;8.219309915;50.0255478115;8.2192764656;50.0264466481;8.2206715211;50.0264684543;8.2207049444;50.0255696172;TGB101_500mX4193000000Y2991500000Z0
TGB101_100mX4190400000Y2987300000Z0;8.1797124666;49.9840001563;8.1790326449;49.9835395888;8.178998484;49.9844384231;8.1803923012;49.9844607197;8.180426436;49.9835618849;TGB101_500mX4190000000Y2987000000Z0
TGB101_100mX4196700000Y2988600000Z0;8.2671017979;49.9970561631;8.2664209569;49.9965961172;8.2663884218;49.9974949777;8.267782652;49.9975162049;8.2678151609;49.9966173439;TGB101_500mX4196500000Y2988500000Z0
TGB101_100mX4193300000Y2989700000Z0;8.2193314656;50.0062118577;8.2186509533;50.0057515283;8.2186175122;50.0066503701;8.2200119909;50.006672183;8.2200454058;50.0057733407;TGB101_500mX4193000000Y2989500000Z0
TGB101_100mX4194200000Y2999200000Z0;8.2287213534;50.0917967094;8.2280395475;50.0913364447;8.2280061931;50.0922352663;8.2294031723;50.0922569699;8.2294365004;50.0913581479;TGB101_500mX4194000000Y2999000000Z0
