as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50mX4195050000Y2979700000Z0;8.2466843327;49.9164745361;8.2463445724;49.9162444486;8.2463281581;49.9166938868;8.2470240963;49.9167046227;8.2470405041;49.9162551843;TGB101_100mX4195000000Y2979700000Z0
TGB101_50mX4196650000Y2989050000Z0;8.2659178199;50.0008603925;8.2655773768;50.0006303667;8.2655610994;50.0010797963;8.2662582664;50.0010904172;8.2662745372;50.0006409875;TGB101_100mX4196600000Y2989000000Z0
TGB101_50mX4197600000Y2987200000Z0;8.2797612653;49.9844323957;8.2794208712;49.9842024103;8.2794047321;49.9846518444;8.2801016626;49.98466238;8.2801177952;49.9842129457;TGB101_100mX4197600000Y2987200000Z0
TGB101_50mX4199450000Y2984050000Z0;8.3065483582;49.9565045386;8.3062080319;49.9562746315;8.306192158;49.956724074;8.3068886877;49.9567344446;8.3069045551;49.956285002;TGB101_100mX4199400000Y2984000000Z0
TGB101_50mX4192250000Y2989050000Z0;8.2045685282;49.9999092295;8.2042283853;49.999679021;8.2042115328;50.0001284403;8.2049086743;50.0001394369;8.2049255203;49.9996900175;TGB101_100mX4192200000Y2989000000Z0
TGB101_50mX4192400000Y2989050000Z0;8.2066599443;49.9999421998;8.2063197912;49.9997119975;8.2063029583;50.0001614172;8.2070001007;50.000172401;8.2070169271;49.9997229812;TGB101_100mX4192400000Y2989000000Z0
TGB101_50mX4192350000Y2978050000Z0;8.2096572114;49.9010573009;8.2093177354;49.9008271023;8.2093009827;49.9012765365;8.2099966907;49.9012874984;8.2100134369;49.9008380642;TGB101_100mX4192300000Y2978000000Z0
TGB101_50mX4192250000Y2989000000Z0;8.2045853772;49.99945981;8.2042452374;49.9992296016;8.2042283853;49.999679021;8.2049255203;49.9996900175;8.2049423658;49.9992405979;TGB101_100mX4192200000Y2989000000Z0
TGB101_50mX4196050000Y2990300000Z0;8.2571429445;50.0119683216;8.2568024653;50.0117382703;8.2567860999;50.0121876969;8.2574834269;50.0121983719;8.2574997857;50.0117489452;TGB101_100mX4196000000Y2990300000Z0
TGB101_50mX4200250000Y2984650000Z0;8.3175035937;49.962063249;8.3171631762;49.9618333749;8.3171474021;49.9622828183;8.3178440145;49.9622931221;8.317859782;49.9618436785;TGB101_100mX4200200000Y2984600000Z0
TGB101_50mX4190700000Y2988400000Z0;8.1831790231;49.9937238773;8.1828390259;49.9934936049;8.1828219761;49.9939430214;8.1835190235;49.9939541487;8.1835360669;49.9935047321;TGB101_100mX4190700000Y2988400000Z0
TGB101_50mX4202850000Y2987550000Z0;8.3528319981;49.9886612197;8.3524912251;49.9884314524;8.3524757693;49.9888808978;8.3531727744;49.9888909861;8.3531882237;49.9884415405;TGB101_100mX4202800000Y2987500000Z0
TGB101_50mX4194500000Y2988500000Z0;8.2361221285;49.9954560744;8.2357818658;49.9952259597;8.2357653117;49.995675385;8.2364623945;49.9956861882;8.236478942;49.9952367627;TGB101_100mX4194500000Y2988500000Z0
TGB101_50mX4202500000Y2990650000Z0;8.3469913987;50.0164559447;8.3466504581;50.0162261614;8.3466349339;50.0166756021;8.3473323426;50.016685727;8.3473478601;50.0162362862;TGB101_100mX4202500000Y2990600000Z0
TGB101_50mX4200450000Y2984700000Z0;8.3202742875;49.9625538735;8.3199338532;49.9623240076;8.3199181049;49.9627734515;8.3206147249;49.9627837383;8.3206304667;49.9623342943;TGB101_100mX4200400000Y2984700000Z0
